"Animal","Condition","Date","Type","Name","Rescue ID","Species"
"Isaac","Healthy","1/1/2018 8:14 AM","Adoption","Isaac","C170405","Cat"
"Lotus","Healthy","1/1/2018 4:01 PM","Return to Owner","Lotus","D180001","Dog"
"Dahntay","Healthy","1/1/2018 5:45 PM","Return to Owner","Dahntay","D140180","Dog"
"Coco","Healthy","1/2/2018 1:59 PM","Return to Owner","Coco","C160294","Cat"
"Shadow","Healthy","1/2/2018 4:29 PM","Adoption","Shadow","C170259","Cat"
"Nuala","Healthy","1/2/2018 5:50 PM","Adoption","Nuala","C170373","Cat"
"Jerry Garcia","Healthy","1/2/2018 6:47 PM","Adoption","Jerry Garcia","C170476","Cat"
"Gohan","Healthy","1/3/2018 7:20 PM","Adoption","Gohan","C170432","Cat"
"Negrito","Healthy","1/4/2018 2:33 PM","Return to Owner","Negrito","D170366","Dog"
"Vaquita","Healthy","1/4/2018 2:34 PM","Return to Owner","Vaquita","D170365","Dog"
"Izzy","Healthy","1/4/2018 5:39 PM","Adoption","Izzy","C170150","Cat"
"Scrappy","Healthy","1/5/2018 1:27 PM","Return to Owner","Scrappy","D170356","Dog"
"Babygirl","Healthy","1/5/2018 5:13 PM","Adoption","Babygirl","D170276","Dog"
"Rachel","Healthy","1/6/2018 8:29 AM","Adoption","Rachel","C170469","Cat"
"Morty","Healthy","1/6/2018 8:45 AM","Adoption","Morty","C170540","Cat"
"Daisy Lou","Treatable - Manageable","1/6/2018 1:18 PM","Adoption","Daisy Lou","D170312","Dog"
"Merlin","Healthy","1/6/2018 6:20 PM","Adoption","Merlin","D170376","Dog"
"Abbie","Healthy","1/7/2018 9:44 AM","Adoption","Abbie","C100195","Cat"
"Storm","Healthy","1/7/2018 1:21 PM","Adoption","Storm","D170401","Dog"
"Oliver","Healthy","1/7/2018 4:06 PM","Adoption","Oliver","C140201","Cat"
"Summer","Healthy","1/8/2018 10:56 AM","Adoption","Summer","C170541","Cat"
"Asia","Healthy","1/8/2018 11:42 AM","Adoption","Asia","C170505","Cat"
"Romeo","Healthy","1/9/2018 2:59 PM","Adoption","Romeo","C160321","Cat"
"Smokey","Healthy","1/9/2018 6:24 PM","Adoption","Smokey","D180005","Dog"
"Marina","Healthy","1/10/2018 6:16 PM","Adoption","Marina","D170374","Dog"
"Piper","Healthy","1/11/2018 8:06 AM","Adoption","Piper","C170522","Cat"
"Celeste","Healthy","1/11/2018 7:48 PM","Adoption","Celeste","C170249","Cat"
"Pancake","Deceased","1/12/2018 1:13 PM","Deceased","Pancake","C170365","Cat"
"Falafel","Deceased","1/12/2018 1:15 PM","Deceased","Falafel","C170363","Cat"
"Fifi","Healthy","1/12/2018 4:07 PM","Return to Owner","Fifi","C180005","Cat"
"Winnie","Healthy","1/12/2018 5:14 PM","Adoption","Winnie","C170103","Cat"
"Mittsie","Healthy","1/12/2018 8:05 PM","Adoption","Mittsie","C170393","Cat"
"Joplin","Healthy","1/12/2018 8:12 PM","Return to Owner","Joplin","D170368","Dog"
"Storm","Healthy","1/13/2018 4:14 PM","Adoption","Storm","D170401","Dog"
"Honey","Healthy","1/13/2018 5:09 PM","Adoption","Honey","C110204","Cat"
"Freya","Healthy","1/13/2018 6:36 PM","Adoption","Freya","C160271","Cat"
"Shadow","Healthy","1/13/2018 6:45 PM","Adoption","Shadow","C170437","Cat"
"Marvin","Healthy","1/14/2018 9:27 AM","Adoption","Marvin","C180001","Cat"
"Pedro","Healthy","1/14/2018 10:49 AM","Adoption","Pedro","C170542","Cat"
"Zach","Healthy","1/14/2018 11:50 AM","Return to Owner","Zach","D180012","Dog"
"Sammie","Healthy","1/14/2018 11:50 AM","Return to Owner","Sammie","D180013","Dog"
"Milky Way","Healthy","1/14/2018 3:50 PM","Adoption","Milky Way","D170398","Dog"
"Doc McStuffins","Healthy","1/14/2018 7:27 PM","Return to Owner","Doc McStuffins","C170462","Cat"
"Mara","Healthy","1/14/2018 7:31 PM","Return to Owner","Mara","D170331","Dog"
"Miko","Healthy","1/14/2018 7:38 PM","Return to Owner","Miko","D170329","Dog"
"Mishka","Healthy","1/14/2018 7:40 PM","Return to Owner","Mishka","D170330","Dog"
"Tibbie Piggie","Healthy","1/14/2018 7:43 PM","Return to Owner","Tibbie Piggie","C170463","Cat"
"Jaime","Healthy","1/16/2018 3:15 PM","Adoption","Jaime","C170248","Cat"
"Kingston","Healthy","1/17/2018 2:25 PM","Return to Owner","Kingston","D170314","Dog"
"Mickey","Healthy","1/17/2018 7:09 PM","Return to Owner","Mickey","D180015","Dog"
"Dempsey","Healthy","1/19/2018 8:21 AM","Adoption","Dempsey","C180006","Cat"
"Mushu","Healthy","1/19/2018 2:54 PM","Adoption","Mushu","D180014","Dog"
"Dani","Healthy","1/19/2018 4:17 PM","Adoption","Dani","C170492","Cat"
"Opie","Healthy","1/19/2018 5:53 PM","Adoption","Opie","C170489","Cat"
"Tash","Healthy","1/19/2018 6:49 PM","Adoption","Tash","C170436","Cat"
"Boo Boo","Healthy","1/19/2018 7:39 PM","Adoption","Boo Boo","D170387","Dog"
"Winston","Healthy","1/20/2018 2:13 PM","Adoption","Winston","D180011","Dog"
"Riley","Healthy","1/20/2018 2:19 PM","Adoption","Riley","D170400","Dog"
"Tanner","Healthy","1/20/2018 2:26 PM","Adoption","Tanner","C170250","Cat"
"Lucy","Healthy","1/20/2018 2:32 PM","Return to Owner","Lucy","D180008","Dog"
"Zombie","Healthy","1/20/2018 2:35 PM","Return to Owner","Zombie","D180007","Dog"
"Tucker","Healthy","1/20/2018 3:52 PM","Adoption","Tucker","C170354","Cat"
"Sammy","Healthy","1/20/2018 5:47 PM","Adoption","Sammy","D180006","Dog"
"Paris","Healthy","1/21/2018 5:25 PM","Return to Owner","Paris","D170241","Dog"
"Luke Skywhisker","Healthy","1/22/2018 6:43 AM","Adoption","Luke Skywhisker","C170490","Cat"
"Doodle","Healthy","1/22/2018 6:47 AM","Adoption","Doodle","C170362","Cat"
"Lola","Healthy","1/22/2018 4:07 PM","Return to Owner","Lola","D180016","Dog"
"Coco","Healthy","1/22/2018 4:09 PM","Return to Owner","Coco","D180017","Dog"
"Thor","Healthy","1/23/2018 7:34 PM","Adoption","Thor","D180020","Dog"
"Jenny","Healthy","1/25/2018 4:57 PM","Adoption","Jenny","D170378","Dog"
"Gremlin","Healthy","1/25/2018 5:33 PM","Adoption","Gremlin","D170394","Dog"
"Happy","Healthy","1/25/2018 6:59 PM","Return to Owner","Happy","C170457","Cat"
"Tracer","Healthy","1/25/2018 6:59 PM","Return to Owner","Tracer","C170458","Cat"
"Gumdrops","Healthy","1/26/2018 12:24 PM","Return to Owner","Gumdrops","D170318","Dog"
"Chow","Healthy","1/26/2018 2:12 PM","Adoption","Chow","D180021","Dog"
"Canish","Healthy","1/26/2018 5:26 PM","Return to Owner","Canish","D180010","Dog"
"Bella","Treatable - Manageable","1/26/2018 5:28 PM","Return to Owner","Bella","D180009","Dog"
"Coco","Healthy","1/26/2018 7:11 PM","Return to Owner","Coco","D180017","Dog"
"Lola","Healthy","1/26/2018 7:13 PM","Return to Owner","Lola","D180016","Dog"
"Pablo","Healthy","1/26/2018 7:25 PM","Adoption","Pablo","D170389","Dog"
"Daphne","Healthy","1/27/2018 1:03 PM","Adoption","Daphne","D170385","Dog"
"Denzel","Healthy","1/27/2018 4:47 PM","Adoption","Denzel","D170266","Dog"
"Sweet Pea","Healthy","1/28/2018 7:48 AM","Adoption","Sweet Pea","C180004","Cat"
"Buster","Healthy","1/28/2018 12:15 PM","Transfer","Buster","D180032","Dog"
"Scooby Doo","Healthy","1/28/2018 3:35 PM","Adoption","Scooby Doo","D170383","Dog"
"Georgia","Healthy","1/28/2018 4:49 PM","Adoption","Georgia","D180024","Dog"
"Poppy","Healthy","1/28/2018 4:52 PM","Return to Owner","Poppy","D170189","Dog"
"Lulu","Healthy","1/28/2018 4:53 PM","Return to Owner","Lulu","D160309","Dog"
"Dakota","Healthy","1/30/2018 1:56 PM","Adoption","Dakota","D180023","Dog"
"Cookie","Healthy","1/30/2018 2:06 PM","Adoption","Cookie","C160386","Cat"
"Jessica Reeves 1","Healthy","1/31/2018 4:04 PM","Transfer","Jessica Reeves 1","C180022","Cat"
"Jessica Reeves 2","Healthy","1/31/2018 4:09 PM","Transfer","Jessica Reeves 2","C180023","Cat"
"Winnie","Healthy","1/31/2018 8:03 PM","Return to Owner","Winnie","D180004","Dog"
"Penelope","Healthy","2/1/2018 2:25 PM","Adoption","Penelope","D180027","Dog"
"Harvey","Healthy","2/1/2018 6:58 PM","Adoption","Harvey","D180030","Dog"
"Fred","Healthy","2/1/2018 7:41 PM","Adoption","Fred","D170384","Dog"
"Mac","Healthy","2/1/2018 7:53 PM","Adoption","Mac","D180029","Dog"
"Velma","Healthy","2/2/2018 3:18 PM","Adoption","Velma","D170386","Dog"
"Youta","Healthy","2/2/2018 7:16 PM","Adoption","Youta","D180019","Dog"
"Happy","Healthy","2/3/2018 4:43 PM","Adoption","Happy","C170457","Cat"
"Lilo","Healthy","2/3/2018 5:18 PM","Adoption","Lilo","C180013","Cat"
"Kenobi","Healthy","2/3/2018 5:24 PM","Adoption","Kenobi","C180016","Cat"
"Copernicus","Healthy","2/3/2018 5:37 PM","Adoption","Copernicus","C180017","Cat"
"Tracer","Healthy","2/3/2018 5:40 PM","Adoption","Tracer","C170458","Cat"
"Darby","Healthy","2/3/2018 6:00 PM","Adoption","Darby","D180041","Dog"
"Gumdrops","Healthy","2/4/2018 1:37 PM","Adoption","Gumdrops","D170318","Dog"
"Casper","Healthy","2/4/2018 2:52 PM","Adoption","Casper","D180028","Dog"
"Mick","Healthy","2/4/2018 4:29 PM","Adoption","Mick","D180018","Dog"
"Chuck","Healthy","2/4/2018 5:05 PM","Adoption","Chuck","C180011","Cat"
"Champion","Healthy","2/4/2018 5:44 PM","Adoption","Champion","D170390","Dog"
"Azalea","Healthy","2/4/2018 7:02 PM","Return to Owner","Azalea","D170371","Dog"
"Sully","Healthy","2/5/2018 12:53 PM","Adoption","Sully","C180015","Cat"
"Junior","Healthy","2/5/2018 5:51 PM","Return to Owner","Junior","D170370","Dog"
"Hendryx","Healthy","2/5/2018 5:51 PM","Return to Owner","Hendryx","D170369","Dog"
"Scruffy","Healthy","2/6/2018 3:07 PM","Transfer","Scruffy","D180044","Dog"
"Kisses","Treatable - Manageable","2/6/2018 3:07 PM","Transfer","Kisses","D180043","Dog"
"Queenie","Healthy","2/6/2018 7:01 PM","Adoption","Queenie","D110010","Dog"
"Unity","Healthy","2/8/2018 7:23 PM","Adoption","Unity","C170423","Cat"
"Gelato","Healthy","2/8/2018 8:19 PM","Adoption","Gelato","C180008","Cat"
"Stitch","Healthy","2/9/2018 11:36 AM","Adoption","Stitch","C180012","Cat"
"Kendra","Healthy","2/9/2018 1:00 PM","Transfer","Kendra","D180051","Dog"
"Max","Healthy","2/9/2018 8:07 PM","Return to Owner","Max","D180047","Dog"
"Fiona","Healthy","2/10/2018 5:35 PM","Adoption","Fiona","D180031","Dog"
"Cora","Healthy","2/10/2018 5:47 PM","Adoption","Cora","D180045","Dog"
"Sunny","Unhealthy and Untreatable","2/10/2018 5:51 PM","Return to Owner","Sunny","D170402","Dog"
"Hendryx","Healthy","2/10/2018 5:52 PM","Adoption","Hendryx","D170369","Dog"
"Autumn","Healthy","2/10/2018 6:28 PM","Adoption","Autumn","D170311","Dog"
"Denzel","Healthy","2/10/2018 6:46 PM","Adoption","Denzel","D170266","Dog"
"Angela","Healthy","2/11/2018 1:34 PM","Adoption","Angela","C150040","Cat"
"Oscar","Healthy","2/11/2018 5:13 PM","Adoption","Oscar","C170538","Cat"
"Nugget","Healthy","2/11/2018 5:45 PM","Adoption","Nugget","D170155","Dog"
"Paul","Healthy","2/11/2018 5:57 PM","Adoption","Paul","C180033","Cat"
"Charlie","Healthy","2/11/2018 6:07 PM","Adoption","Charlie","C170095","Cat"
"Peanut Butter","Healthy","2/13/2018 2:47 PM","Adoption","Peanut Butter","C180034","Cat"
"Jax","Healthy","2/13/2018 3:30 PM","Transfer","Jax","D180057","Dog"
"Bailey","Healthy","2/13/2018 7:48 PM","Adoption","Bailey","C180010","Cat"
"Junior","Healthy","2/13/2018 8:05 PM","Adoption","Junior","D170370","Dog"
"Clarence","Healthy","2/14/2018 5:39 PM","Adoption","Clarence","D160153","Dog"
"Elvira","Healthy","2/15/2018 8:34 AM","Adoption","Elvira","C170509","Cat"
"Chow","Healthy","2/15/2018 6:01 PM","Adoption","Chow","D180021","Dog"
"Juno","Healthy","2/16/2018 7:15 PM","Return to Owner","Juno","D180062","Dog"
"Butters","Healthy","2/17/2018 9:14 AM","Adoption","Butters","C170521","Cat"
"Keanu","Healthy","2/17/2018 4:10 PM","Adoption","Keanu","C180031","Cat"
"Elsa","Healthy","2/17/2018 5:25 PM","Adoption","Elsa","C180043","Cat"
"Honeybun","Healthy","2/17/2018 5:28 PM","Adoption","Honeybun","C180020","Cat"
"Betty White","Treatable - Manageable","2/17/2018 5:53 PM","Adoption","Betty White","D180054","Dog"
"Bishop","Healthy","2/17/2018 5:56 PM","Adoption","Bishop","D180035","Dog"
"Andy","Healthy","2/17/2018 6:34 PM","Adoption","Andy","D180050","Dog"
"Chance","Healthy","2/17/2018 6:38 PM","Adoption","Chance","D180040","Dog"
"Mocha","Healthy","2/17/2018 6:41 PM","Adoption","Mocha","D180036","Dog"
"Peyton","Healthy","2/18/2018 1:02 PM","Adoption","Peyton","D180046","Dog"
"Edward Appleby","Healthy","2/18/2018 2:07 PM","Adoption","Edward Appleby","C170466","Cat"
"Diesel","Healthy","2/18/2018 2:49 PM","Adoption","Diesel","D180048","Dog"
"Zan","Healthy","2/18/2018 6:42 PM","Adoption","Zan","C180026","Cat"
"Jayna","Healthy","2/18/2018 6:44 PM","Adoption","Jayna","C180027","Cat"
"Azalea","Healthy","2/19/2018 7:35 PM","Return to Owner","Azalea","D170371","Dog"
"Kole","Healthy","2/19/2018 11:48 PM","Adoption","Kole","C170244","Cat"
"Libby","Healthy","2/20/2018 2:00 PM","Adoption","Libby","D180033","Dog"
"Vera","Healthy","2/20/2018 5:19 PM","Adoption","Vera","D180052","Dog"
"Olivia","Healthy","2/20/2018 7:24 PM","Adoption","Olivia","D180056","Dog"
"MeeMaw","Healthy","2/20/2018 7:47 PM","Adoption","MeeMaw","D180002","Dog"
"Patty","Healthy","2/21/2018 3:31 PM","Transfer","Patty","C170047","Cat"
"Bonnie","Healthy","2/21/2018 3:31 PM","Transfer","Bonnie","C170234","Cat"
"Iggy","Unhealthy and Untreatable","2/21/2018 3:31 PM","Transfer","Iggy","C180028","Cat"
"Elizabeth","Healthy","2/21/2018 3:35 PM","Transfer","Elizabeth","C160315","Cat"
"Georgia","Healthy","2/22/2018 4:39 PM","Adoption","Georgia","D180024","Dog"
"Smith 1","Treatable - Manageable","2/22/2018 5:44 PM","Transfer","Smith 1","D180072","Dog"
"Bucalo 1","Healthy","2/22/2018 7:21 PM","Return to Owner","Bucalo 1","D180070","Dog"
"Bucalo 2","Treatable - Rehabilitatable","2/22/2018 7:40 PM","Return to Owner","Bucalo 2","D180071","Dog"
"Jackie","Healthy","2/23/2018 4:12 PM","Adoption","Jackie","C170115","Cat"
"Zeus","Healthy","2/23/2018 4:53 PM","Adoption","Zeus","D180069","Dog"
"Archie","Healthy","2/23/2018 5:01 PM","Return to Owner","Archie","D180073","Dog"
"Kennedy","Healthy","2/23/2018 9:21 PM","Adoption","Kennedy","C170355","Cat"
"Eric","Healthy","2/24/2018 12:01 PM","Adoption","Eric","D170342","Dog"
"Josie","Healthy","2/24/2018 5:04 PM","Adoption","Josie","C180041","Cat"
"Cheese Puff","Healthy","2/24/2018 7:56 PM","Return to Owner","Cheese Puff","C180014","Cat"
"Sabrina","Healthy","2/25/2018 5:32 PM","Adoption","Sabrina","C180021","Cat"
"Paris","Healthy","2/25/2018 7:37 PM","Return to Owner","Paris","D170241","Dog"
"Ava","Healthy","2/25/2018 7:38 PM","Return to Owner","Ava","D160005","Dog"
"Betty White","Treatable - Manageable","2/26/2018 4:51 PM","Return to Owner","Betty White","D180054","Dog"
"Ace","Unhealthy and Untreatable","2/27/2018 4:42 PM","Euthanasia","Ace","D180049","Dog"
"Mikey","Healthy","2/27/2018 8:56 PM","Adoption","Mikey","C170537","Cat"
"Jasper","Healthy","2/27/2018 9:01 PM","Adoption","Jasper","C170534","Cat"
"Dominic","Healthy","2/28/2018 2:32 PM","Return to Owner","Dominic","C180009","Cat"
"Evie","Unhealthy and Untreatable","2/28/2018 4:01 PM","Transfer","Evie","D180082","Dog"
"Angela","Healthy","2/28/2018 7:10 PM","Return to Owner","Angela","C150040","Cat"
"Dexter","Healthy","3/2/2018 3:10 PM","Return to Owner","Dexter","D180061","Dog"
"Damita","Healthy","3/2/2018 5:23 PM","Adoption","Damita","C170460","Cat"
"Oliver","Healthy","3/2/2018 7:46 PM","Adoption","Oliver","C180044","Cat"
"Borgata","Healthy","3/4/2018 3:37 PM","Adoption","Borgata","C170461","Cat"
"Steph","Unhealthy and Untreatable","3/4/2018 5:11 PM","Return to Owner","Steph","C180061","Cat"
"Gronk","Unhealthy and Untreatable","3/4/2018 5:12 PM","Return to Owner","Gronk","C180062","Cat"
"Riley","Healthy","3/4/2018 7:17 PM","Adoption","Riley","C180036","Cat"
"Dixie","Healthy","3/4/2018 7:19 PM","Adoption","Dixie","D180077","Dog"
"Azalea","Healthy","3/4/2018 7:20 PM","Return to Owner","Azalea","D170371","Dog"
"Casper","Healthy","3/5/2018 7:21 AM","Adoption","Casper","C170535","Cat"
"Blu","Healthy","3/5/2018 1:37 PM","Return to Owner","Blu","D180091","Dog"
"Palamao","Healthy","3/5/2018 1:44 PM","Return to Owner","Palamao","D180092","Dog"
"Forrest","Treatable - Rehabilitatable","3/5/2018 2:20 PM","Transfer","Forrest","D180093","Dog"
"Natasha","Treatable - Rehabilitatable","3/5/2018 6:51 PM","Return to Owner","Natasha","C180069","Cat"
"Haley","Healthy","3/5/2018 6:55 PM","Return to Owner","Haley","C180068","Cat"
"Mazzy","Healthy","3/5/2018 7:46 PM","Return to Owner","Mazzy","D180095","Dog"
"Poe","Healthy","3/6/2018 1:27 PM","Adoption","Poe","C180057","Cat"
"Olivia","Healthy","3/6/2018 3:23 PM","Adoption","Olivia","D180081","Dog"
"Chives","Unhealthy and Untreatable","3/6/2018 6:21 PM","Euthanasia","Chives","C180049","Cat"
"Odin","Healthy","3/6/2018 7:46 PM","Return to Owner","Odin","D180042","Dog"
"Hayley","Healthy","3/6/2018 7:54 PM","Adoption","Hayley","D180083","Dog"
"Rolo","Healthy","3/8/2018 7:35 PM","Return to Owner","Rolo","D180090","Dog"
"Chance","Healthy","3/9/2018 3:55 PM","Adoption","Chance","D180040","Dog"
"Peyton","Healthy","3/9/2018 7:15 PM","Adoption","Peyton","D180046","Dog"
"Phoebe","Healthy","3/10/2018 12:44 PM","Adoption","Phoebe","D180094","Dog"
"Gloriana","Healthy","3/10/2018 3:20 PM","Adoption","Gloriana","C180053","Cat"
"Hagrid","Healthy","3/10/2018 5:04 PM","Adoption","Hagrid","C180052","Cat"
"Gilligan","Healthy","3/10/2018 5:07 PM","Adoption","Gilligan","C180055","Cat"
"Genevieve","Healthy","3/10/2018 6:18 PM","Adoption","Genevieve","D180096","Dog"
"Tay","Healthy","3/10/2018 6:23 PM","Return to Owner","Tay","D170091","Dog"
"Bruce","Healthy","3/10/2018 6:23 PM","Return to Owner","Bruce","D170092","Dog"
"Rory","Healthy","3/11/2018 8:21 AM","Adoption","Rory","C180042","Cat"
"Dominic","Healthy","3/11/2018 1:38 PM","Adoption","Dominic","C180009","Cat"
"Lorenzo","Healthy","3/11/2018 3:13 PM","Adoption","Lorenzo","D180079","Dog"
"Mick","Healthy","3/11/2018 7:19 PM","Adoption","Mick","D180018","Dog"
"Giuseppe","Healthy","3/11/2018 7:22 PM","Adoption","Giuseppe","C180051","Cat"
"Cliffe","Healthy","3/12/2018 8:36 AM","Adoption","Cliffe","C180029","Cat"
"Isabelle","Healthy","3/12/2018 8:38 AM","Adoption","Isabelle","C180037","Cat"
"Nessie","Healthy","3/12/2018 6:37 PM","Transfer","Nessie","D180111","Dog"
"Jax","Treatable - Rehabilitatable","3/12/2018 6:37 PM","Transfer","Jax","D180112","Dog"
"Tabasco","Healthy","3/12/2018 8:20 PM","Adoption","Tabasco","C160189","Cat"
"Kaia","Healthy","3/13/2018 1:07 PM","Adoption","Kaia","C180019","Cat"
"Gilbert","Healthy","3/13/2018 2:52 PM","Adoption","Gilbert","C180056","Cat"
"Hermione","Healthy","3/13/2018 2:53 PM","Adoption","Hermione","C180074","Cat"
"Ginger","Healthy","3/13/2018 4:26 PM","Adoption","Ginger","D180075","Dog"
"Shotty","Healthy","3/13/2018 5:40 PM","Return to Owner","Shotty","D170399","Dog"
"Bentley 1","Treatable - Rehabilitatable","3/14/2018 2:35 PM","Transfer","Bentley 1","C180075","Cat"
"Yee 1","Healthy","3/14/2018 8:47 PM","Return to Owner","Yee 1","D180117","Dog"
"Emilia","Healthy","3/14/2018 8:48 PM","Adoption","Emilia","C180059","Cat"
"Andy","Treatable - Manageable","3/15/2018 4:06 PM","Adoption","Andy","D180050","Dog"
"Scooter","Unhealthy and Untreatable","3/15/2018 5:30 PM","Transfer","Scooter","D180026","Dog"
"Nellie","Healthy","3/15/2018 6:16 PM","Adoption","Nellie","D180078","Dog"
"Gilligan","Healthy","3/15/2018 8:14 PM","Adoption","Gilligan","D180074","Dog"
"Glinda","Healthy","3/15/2018 8:16 PM","Adoption","Glinda","C180071","Cat"
"Finn","Healthy","3/15/2018 9:01 PM","Adoption","Finn","D180098","Dog"
"Mrs. Puff","Healthy","3/16/2018 6:53 PM","Adoption","Mrs. Puff","C170530","Cat"
"Wyatt","Healthy","3/16/2018 8:07 PM","Adoption","Wyatt","D180025","Dog"
"Leonard","Healthy","3/16/2018 8:47 PM","Adoption","Leonard","D180067","Dog"
"Sonoma","Healthy","3/16/2018 9:00 PM","Adoption","Sonoma","D180114","Dog"
"Robyn","Healthy","3/17/2018 9:22 AM","Adoption","Robyn","C180058","Cat"
"Claire","Healthy","3/17/2018 9:27 AM","Adoption","Claire","C170247","Cat"
"Layla","Healthy","3/17/2018 1:54 PM","Return to Owner","Layla","D180118","Dog"
"Kenzie","Healthy","3/17/2018 3:37 PM","Adoption","Kenzie","D180109","Dog"
"Dora","Healthy","3/17/2018 5:15 PM","Adoption","Dora","D180122","Dog"
"Herman","Healthy","3/17/2018 5:20 PM","Adoption","Herman","C180072","Cat"
"Skipper","Healthy","3/17/2018 7:06 PM","Adoption","Skipper","D180076","Dog"
"Goldilocks","Healthy","3/18/2018 6:43 PM","Adoption","Goldilocks","C180070","Cat"
"Ollie","Treatable - Rehabilitatable","3/18/2018 7:30 PM","Adoption","Ollie","D180053","Dog"
"Spanky","Healthy","3/20/2018 4:25 PM","Return to Owner","Spanky","D170287","Dog"
"Layna","Healthy","3/20/2018 4:26 PM","Return to Owner","Layna","D170288","Dog"
"Petunia","Healthy","3/20/2018 4:28 PM","Transfer","Petunia","D180119","Dog"
"Hamilton","Healthy","3/21/2018 8:58 AM","Adoption","Hamilton","C180063","Cat"
"Dorthy","Healthy","3/21/2018 5:39 PM","Adoption","Dorthy","C180086","Cat"
"Uno","Deceased","3/21/2018 7:24 PM","Deceased","Uno","D180116","Dog"
"Mimi","Healthy","3/22/2018 3:08 PM","Adoption","Mimi","C180007","Cat"
"Leonard","Healthy","3/22/2018 6:07 PM","Adoption","Leonard","D180067","Dog"
"Raven","Treatable - Manageable","3/22/2018 8:55 PM","Return to Owner","Raven","C180025","Cat"
"Cooper","Healthy","3/22/2018 8:56 PM","Return to Owner","Cooper","C180024","Cat"
"Koda","Healthy","3/23/2018 3:58 PM","Adoption","Koda","D180120","Dog"
"Cinnamon","Healthy","3/23/2018 7:11 PM","Adoption","Cinnamon","C180050","Cat"
"Charlie","Healthy","3/24/2018 7:02 PM","Adoption","Charlie","D180113","Dog"
"Laker","Healthy","3/25/2018 3:27 PM","Transfer","Laker","D180136","Dog"
"Leo","Healthy","3/25/2018 4:06 PM","Adoption","Leo","D180115","Dog"
"Crybaby","Healthy","3/25/2018 5:14 PM","Return to Owner","Crybaby","C130147","Cat"
"Muffin","Healthy","3/25/2018 6:39 PM","Adoption","Muffin","C180018","Cat"
"Sampson","Healthy","3/26/2018 2:12 PM","Return to Owner","Sampson","C180089","Cat"
"Parco","Healthy","3/26/2018 4:07 PM","Adoption","Parco","C170497","Cat"
"KiKi","Healthy","3/27/2018 6:47 PM","Adoption","KiKi","D180124","Dog"
"Athena","Healthy","3/27/2018 7:23 PM","Return to Owner","Athena","C180077","Cat"
"Sitka","Healthy","3/28/2018 1:52 PM","Adoption","Sitka","D180121","Dog"
"Sahara","Healthy","3/29/2018 4:55 PM","Adoption","Sahara","D180128","Dog"
"Daisy","Healthy","3/29/2018 6:01 PM","Adoption","Daisy","C180065","Cat"
"Meela","Healthy","3/29/2018 6:57 PM","Adoption","Meela","C180092","Cat"
"Lucius","Healthy","3/30/2018 2:42 PM","Adoption","Lucius","C180082","Cat"
"Grace","Healthy","3/30/2018 3:53 PM","Return to Owner","Grace","C180090","Cat"
"Yukon","Healthy","3/30/2018 3:57 PM","Adoption","Yukon","D180130","Dog"
"Misty","Healthy","3/30/2018 3:57 PM","Return to Owner","Misty","C180091","Cat"
"Peyton","Healthy","3/30/2018 4:11 PM","Adoption","Peyton","D180046","Dog"
"Luna","Healthy","3/30/2018 8:25 PM","Adoption","Luna","C180080","Cat"
"Link","Healthy","3/30/2018 8:27 PM","Adoption","Link","C180081","Cat"
"Maggie","Healthy","3/30/2018 8:32 PM","Adoption","Maggie","D180131","Dog"
"Ronnie","Healthy","3/31/2018 2:27 PM","Adoption","Ronnie","C180047","Cat"
"Leeroy","Healthy","3/31/2018 3:38 PM","Adoption","Leeroy","C180083","Cat"
"Roxie","Healthy","3/31/2018 3:47 PM","Adoption","Roxie","D180127","Dog"
"Abbie","Healthy","3/31/2018 3:57 PM","Return to Owner","Abbie","D170360","Dog"
"Kit Kat","Healthy","3/31/2018 4:24 PM","Adoption","Kit Kat","C180038","Cat"
"Duncan","Healthy","3/31/2018 4:39 PM","Adoption","Duncan","C180088","Cat"
