Pet's Name,Vet Used,TCP or Adoptable,Pet ID#,"Dog, cat, puppy, kitten
<1 Year = Puppy or Kitten","Flea & Tick
$12 if done at LOH",Cost,Bordatella Vax $10 if done at LOH,Cost,"DA2PP
$10 if done at LOH",Cost,Rabies,Cost,Dog Spay,Cost,Dog Neuter,Cost,"Microchip
$35 if LOH chip",Cost,Cat Spay,Cost,Cat Neuter,Cost,"FeLV/FIV 
Test
$35 if LOH test",Cost,"FVRCP
$10 if done at LOH",Cost,Other,Cost,Notes
Christina,LOH,Adoptable,C180237,Kitten,,,,,,,,,,,,,1,35,1,,,,1,35,1,10,,,
Eve,LOH,Adoptable,C180238,Kitten,,,,,,,,,,,,,1,35,1,,,,1,35,1,10,,,
Beth,LOH,Adoptable,C180239,Kitten,,,,,,,,,,,,,1,35,1,,,,1,35,1,10,,,
Esther,LOH,Adoptable,C180240,Kitten,,,,,,,,,,,,,1,35,1,,,,1,35,1,10,,,
Joseph,LOH,Adoptable,C180241,Kitten,,,,,,,,,,,,,1,35,,,1,,2,35,1,10,,,
Judas,LOH,Adoptable,C180242,Kitten,,,,,,,,,,,,,1,35,,,1,,1,35,1,10,,,
Ares,,Adoptable,D170188,Dog,,,,,,,,,,,,,,,,,,,,,,,2,,
Mabel,,Adoptable,D180244,Dog,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy,LOH,Adoptable,D180152,Dog,,,1,,,,,,,,,,,,,,,,,,,,,,
Patrick,LOH,Adoptable,C180204,Kitten,,,,,,,,,,,,,1,35,,,1,,,,,,,,
Lemon,LOH,Adoptable,C180234,Kitten,,,,,,,,,,,,,1,35,1,,,,,,,,,,
Lime,LOH,Adoptable,C180235,Kitten,,,,,,,,,,,,,1,35,,,1,,,,,,,,
TJ,LOH,TCP,D180264,Dog,,,,,,,,,,,,,,,,,,,,,,,,,
Jake,GC,Adoptable,C180271,Cat,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Bugsy,GC,Adoptable,C180273,Cat,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Bonita,GC,Adoptable,C180254,Cat,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Cupcake,GC,Adoptable,C180279,Cat,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Ivan,GC,Adoptable,C180274,Cat,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Indira,GC,Adoptable,C180275,Cat,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Arya,GC,Adoptable,C180174,Kitten,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Cayden,GC,Adoptable,C180173,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Chanel,GC,Adoptable,C180263,Kitten,,,,,,,1,14,,,,,1,35,1,60,,,,,,,,,
Mew,GC,Adoptable,C180264,Kitten,,,,,,,1,14,,,,,1,35,1,60,,,,,,,,,
Bristol,GC,Adoptable,C180265,Kitten,,,,,,,1,14,,,,,1,35,,,1,35,,,,,,,
Carrie,GC,Adoptable,C180266,Kitten,,,,,,,1,14,,,,,1,35,1,60,,,,,,,,,
Bonnie,GC,Adoptable,C180267,Kitten,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Buddie,GC,Adoptable,C180268,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Dory,GC,Adoptable,D180291,Dog,,,,,,,1,10,,,,,1,35,,,,,,,,,1,15,Exam
Lola,AMS,Adoptable,D180294,Puppy,,,,,,,1,10,1,,,,1,35,,,,,,,,,,,
Aurora,AMS,Adoptable,C180278,Kitten,,,,,,,,,,,,,1,35,1,,,,,,,,,,
Myrtle,AMS,Adoptable,C180151,Kitten,,,,,,,1,,,,,,1,35,1,,,,,,,,,,
Ginny,AMS,Adoptable,C180150,Kitten,,,,,,,1,,,,,,1,35,1,,,,,,,,,,
Hermione,AMS,Adoptable,C180074,Kitten,,,,,,,1,,,,,,1,35,1,,,,,,,,,,
Luna,AMS,Adoptable,C180149,Kitten,,,,,,,1,,,,,,1,35,1,,,,,,,,,,
Brody,AMS,Adoptable,D180290,Dog,,,1,,1,,1,,,,1,,1,35,,,,,,,,,,,
Sam,AMS,Adoptable,D180236,Dog,,,,,,,1,,,,1,,1,35,,,,,,,,,,,
Gimli,GC,Adoptable,C180259,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Sauron,GC,Adoptable,C180261,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Ragnar,GC,Adoptable,C180260,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Octavia,GC,Adoptable,C180262,Kitten,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Billy,GC,Adoptable,C180270,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Athena,GC,Adoptable,C180194,Kitten,,,,,,,,,,,,,1,35,1,60,,,,,,,,,
Aries,GC,Adoptable,C180193,Kitten,,,,,,,,,,,,,1,35,,,1,35,,,,,,,
Reign,GC,Adoptable,D180293,Puppy,,,,,,,,,1,,,,,,,,,,,,,,,,
Ham,PDCB,Adoptable,C180277,Cat,,,,,,,,,,,,,,,,,,,,,,,1,,Dental fragment check
Umbra,UAH,Adoptable,,Kitten,,,,,,,,,,,,,,,,,,,,,,,1,,Euthanasia
Humphrey,UAH,Adoptable,C180244,Kitten,,,,,,,,,,,,,,,,,,,,,,,,,Blood work/fecal 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,